Name,Price,Old Price,Discount
"Бедро цыплёнка-бройлера Наша птичка охлаждённое, 834г",169.99,219.99,23.0
"Медальон цыплёнка-бройлера Петелинка, 450г",209.99,,
"Филе цыплёнка-бройлера Петелинка малое охлаждённое, 450г",199.99,,
"Филе цыплёнка-бройлера Наша птичка охлаждённое, 834г",299.99,369.99,19.0
"Бедро куриное Перекрёсток охлаждённое, кг",229.99,,
"Голень куриная Первая Свежесть охлаждённая, 750г",239.0,,
"Крылья куриные Перекрёсток охлаждённые, кг",249.99,,
"Голень цыплёнка-бройлера Петруха охлаждённое, 750г",249.99,,
"Филе куриное Перекрёсток на кости охлаждённое, кг",279.99,,
"Филе бедра цыпленка-бройлера Наша Птичка без кожи охлаждённое, кг",399.99,,
"Голень куриная Троекурово охлаждённая, 900г",289.99,,
"Крылья цыплят-бройлера Первая Свежесть две части раздельно охлаждённые, 750г",279.0,,
"Филе бедра цыплёнка-бройлера Петелинка без кожи охлаждённое, кг",409.0,,
"Голень цыплёнка Петелинка охлаждённая, кг",319.99,,
"Голень цыплёнка-бройлера Наша Птичка охлаждённая, 900г",279.99,,
"Филе бедра куриное Первая Свежесть охлаждённое, кг",439.99,,
"Бедро цыплёнка Петелинка особое охлаждённое, кг",269.99,,
"Филе куриное Перекрёсток охлаждённое, кг",359.99,,
"Бедро куриное Первая Свежесть натуральное охлаждённое, кг",299.99,,
"Грудка куриная Петелинка домашняя без кожи охлаждённая, кг",309.0,,
"Филе Петруха стейки нарезанные ЦБ лоток, 600г",269.99,,
"Филе грудки цыплёнка Петелинка, кг",429.0,,
"Курица в кисло-сладком соусе с рисом Шеф Перекрёсток, 250г",229.99,,
"Филе грудки куриное Троекурово охлаждённое, 900г",379.0,,
"Голень цыплёнка-бройлера Петруха мини мясокостная, 600г",219.99,,
"Курица стир-фрай с лапшой и овощами Шеф Перекрёсток, 250г",229.99,,
"Филе грудки куриное Первая Свежесть охлаждённое, кг",449.99,,
"Сэндвич-ролл Шеф Перекрёсток Цезарь, 200г",189.99,,
"Вок с курицей Шеф Перекрёсток, 250г",249.99,,
"Сэндвич-ролл с курицей и соусом Блючиз Шеф Перекрёсток by Novikov, 210г",229.99,,
"Шашлык куриный Перекрёсток в кефире, кг",209.99,,
"Шашлык куриный Перекрёсток в маринаде с лимоном, кг",239.99,,
"Курица тикка карри с рисом Шеф Перекрёсток, 260г",249.99,,
"Курица терияки на рисе Шеф Перекрёсток, 300г",269.99,,
"Крылья куриные в маринаде, кг",289.99,,
"Курица Шеф Перекрёсток на гриле с овощами, 200г",269.99,,
"Голень куриная Перекрёсток в маринаде, кг",289.99,,
"Колбаски Мираторг шашлычные для гриля, 400г",169.99,,
"Плов с курицей Шеф Перекрёсток, 250г",189.99,,
"Крылья цыплёнка-бройлера Петелинка в маринаде Барбекю охлаждённые, кг",329.99,,
"Салат Алекс Шеф Перекрёсток, 200г",169.99,,
"Фарш куриный Перекрёсток из филе грудки, кг",359.99,,
"Пюре мясное Агуша Цыпленок 6% с 6 месяцев, 80г",83.99,,
"Фарш Перекрёсток куриный, кг",329.99,,
"Салат Фаворит Шеф Перекрёсток, 200г",189.99,,
"Лапша Доширак Чан Рамён со вкусом курицы быстрого приготовления, 86г",44.99,59.99,25.0
"Салат из курицы гриль по-корейски Шеф Перекрёсток, 200г",159.99,,
"Задняя часть говяжья Перекрёсток без кости, кг",739.0,,
"Стейк говяжий Мираторг Black Angus Рибай без кости категория А охлаждённый, 320г",849.99,1099.0,23.0
