Lon,Lat,Cafe,Delivery,Catalog,Pickup
37.610287,55.723506,False,True,True,True
37.618659,55.736012,False,True,True,True
37.68509,55.772087,False,True,True,True
37.674499,55.73846,False,True,True,True
37.663943,55.731855,False,True,True,True
37.659164,55.757339,False,True,True,True
37.726583,55.782754,False,True,True,True
37.666189,55.780431,True,True,True,False
37.664896,55.69587,True,True,True,True
37.700837,55.795585,False,True,True,True
37.678685,55.788576,True,True,True,True
37.658571,55.740532,True,True,True,False
37.671112,55.733462,False,True,True,True
37.704116,55.782071,False,True,True,True
37.620761,55.709028,False,True,True,True
37.610619,55.651364,False,True,True,True
37.620698,55.653644,False,True,True,True
37.609901,55.653761,False,True,True,True
37.66203,55.675885,False,True,True,True
37.702876,55.682128,False,True,True,True
37.652625,55.681529,False,True,True,True
37.622405,55.700877,False,True,True,True
37.661913,55.682651,False,True,True,True
37.622612,55.729331,False,True,True,True
37.621714,55.714891,False,False,True,False
37.64613,55.653314,False,True,True,True
37.539644,55.749299,True,True,True,True
37.467536,55.726244,False,True,True,True
37.571641,55.764729,False,True,True,True
37.546974,55.758114,False,True,True,True
37.449677,55.725595,False,True,True,True
37.476169,55.727927,True,True,True,True
37.470743,55.709657,False,True,True,False
37.484433,55.739225,False,True,True,True
37.491,55.739488,False,True,True,True
37.509236,55.755023,False,True,True,True
37.467383,55.736387,False,True,True,True
37.508984,55.762789,False,True,True,True
37.456828,55.707294,False,True,True,False
37.483023,55.799588,False,True,True,True
37.559541,55.784233,False,True,True,True
37.544629,55.790221,False,True,True,True
37.559883,55.793227,False,True,True,True
37.498761,55.785782,False,True,True,True
37.583373,55.769226,False,True,True,False
37.523707,55.777099,False,True,True,True
37.459999,55.809611,False,True,True,True
37.559379,55.791243,True,True,True,True
37.511508,55.807951,False,True,True,True
37.464571,55.809469,True,True,True,True
37.660269,55.82173,False,True,True,True
37.583742,55.802953,False,True,True,True
37.585305,55.825133,False,True,True,True
37.617141,55.795433,False,True,True,False
37.632098,55.780319,False,True,True,False
37.636356,55.793227,False,False,True,False
37.589336,55.82295,True,True,True,True
37.635567,55.847244,False,True,True,True
37.658338,55.835008,False,True,True,True
37.653307,55.815453,False,True,True,True
37.651241,55.812504,False,True,True,False
37.573205,55.818124,False,True,True,True
37.551241,55.864172,True,True,True,True
37.511454,55.858468,False,True,True,True
37.520114,55.851758,False,True,True,False
37.580526,55.818306,False,False,True,False
37.512622,55.815306,False,True,True,True
37.576852,55.838,False,True,True,True
37.51653,55.825664,False,True,True,False
37.545581,55.863833,False,True,True,True
37.557736,55.856967,False,True,True,True
37.548627,55.544275,False,False,True,False
37.585386,55.568558,False,True,True,True
37.569764,55.567117,False,False,True,False
37.532538,55.546868,False,False,True,False
37.518282,55.542767,False,True,True,True
37.556101,55.545406,False,False,True,False
37.551232,55.546307,False,True,True,True
37.543246,55.547845,True,True,True,True
37.567913,55.498989,False,True,True,True
37.559173,55.504216,False,False,True,False
37.593569,55.500259,False,True,True,True
37.59524,55.582986,False,True,True,True
37.664976,55.594102,False,True,True,True
37.671507,55.582655,False,True,True,True
37.702544,55.551741,False,True,True,True
37.718327,55.540715,False,True,True,True
37.682772,55.583632,False,True,True,True
37.710162,55.542961,False,False,True,False
37.672837,55.586191,False,False,True,False
37.671274,55.595715,False,False,True,False
37.712318,55.529323,False,True,True,True
37.669845,55.587372,False,True,True,True
37.665336,55.57863,False,False,True,False
37.647603,55.575144,False,True,True,True
37.648205,55.586405,False,True,True,True
