Должность,Мин З/П,Макс З/П,Адрес
Продавец-кассир,40973,44251,"127287, г Москва, 4-й Вятский пер, д 21"
Продавец-кассир,40973,44251,"127015, г Москва, ул Бутырская, д 15"
Продавец-кассир,40973,44251,"121471, г Москва, ул Гвардейская, д 16"
Продавец-кассир,40973,44251,"125124, г Москва, ул Расковой, д 14"
Продавец-кассир,40973,44251,"121596, г Москва, ул Говорова, д 8"
Продавец-кассир,40900,44200,"117593, г Москва, Соловьиный проезд, д 4-А"
Продавец-кассир,40900,44200,"109052, г Москва, ул Рогожский Посёлок, д 5"
Продавец-кассир,40900,44250,"109431, г Москва, ул Привольная, д 65/32"
Продавец-кассир,40900,44250,"109153, г Москва, Лермонтовский пр-кт, д 12"
Продавец-кассир,40900,44200,"115432, г Москва, ул Трофимова, д 1/17"
Продавец-кассир,40973,44251,"123592, г Москва, Строгинский б-р, д 9"
Продавец-кассир,38861,41970,"108814, г Москва, ул Василия Ощепкова, д 4"
Продавец-кассир,40973,44251,"127644, г Москва, Карельский б-р, д 5"
Продавец-кассир,40973,44251,"129336, г Москва, Анадырский проезд, д 63"
Продавец-кассир,40900,44250,"115470, г Москва, ул Судостроительная, д 17"
Продавец-кассир,40973,44251,"125319, г Москва, ул 1-я Аэропортовская, д 6"
Продавец-кассир,40900,44200,"109518, г Москва, ул Грайвороновская, д 12"
Продавец-кассир,40973,44251,"125499, г Москва, ул Лавочкина, д 18"
Продавец-кассир,40900,44200,"109518, г Москва, проезд Грайвороновский 2-й, д 42"
Продавец-кассир,40900,44250,"111675, г Москва, ул Святоозерская, д 3А"
Продавец-кассир,40973,44251,"123154, г Москва, б-р Генерала Карбышева, д 14"
Продавец-кассир,40973,44251,"125284, г Москва, ул Беговая, д 28"
Продавец-кассир,40900,44200,"105484, г Москва, ул 13-я Парковая, д 28А"
